findingId,situationId
563001,274826007
1415005,302064001
1855002,984051000000100
1912002,1141715008
2073000,922711000000103
2170000,846726003
3006004,162264002
4522001,276451003
6471006,134420004
7011001,921381000000101
7036007,301125003
7571003,102905003
9957009,162154003
13197004,169450001
13954005,733740006
15167005,1141703009
16001004,162357001
16932000,70790008
16985007,440565004
17369002,15011000119104
17971005,1157030006
18085000,748071000000101
18618006,34189007
19693008,299316003
20036005,289805000
20995005,281633000
21522001,162037008
22166009,298291002
22253000,81765008
23133003,298320009
23986001,1109141000000102
24184005,371622005
25064002,162298006
25762009,274547000
26628009,225438003
26680000,299052005
27624003,473143003
29857009,161971004
30746006,274621000
30760008,707199000
30846001,274831009
33779007,28281004
34095006,860981000
35187000,300434009
35611005,274810006
36406009,838471000000109
36649002,274823004
38341003,371622005
39051003,299730006
39843000,708167009
43381005,315213009
43408002,247079003
43478001,297125009
44695005,846715009
44717005,298297003
46742003,846719003
47944004,278683009
49049000,340761000000109
49727002,161922009
49768006,298322001
50239007,1149346008
50620007,777601000000102
52515009,846755006
53566005,300353003
53741008,473146006
53972003,846754005
54360005,299887009
55222007,290081003
56018004,310436000
56265001,394926003
60728008,162069004
60862001,162350004
61372001,1141702004
62315008,162104009
62548007,161928008
62564004,285341004
62988009,300432008
64531003,274807004
65124004,300890009
65958008,161953006
66214007,1157031005
68566005,869371000000101
69322001,871480003
70582006,846728002
71325002,473136009
72300008,274832002
72863001,162376004
73211009,315216001
74506000,304242000
75478009,1157056004
76067001,162368001
77386006,15011000119104
79688008,248553004
80313002,161966006
82184000,700424009
82345001,299731005
82400004,301281001
84229001,1141720008
84445001,846725004
85905009,298295006
85949006,733827009
87860000,314641006
88458008,82120007
88610006,301131000
89164003,162161004
89765005,1149350001
91175000,860636001
95319004,846753004
95321009,846727007
102626001,846729005
102627005,300334008
105571009,1149237000
106076001,860944004
106182000,309580001
110288007,298252007
112099006,298296007
116223007,1157057008
118952005,860717004
118953000,860716008
125643001,425426005
125667009,473140000
127013003,874908001
128053003,1141709008
128060009,707312001
130968006,1157029001
131148009,1141705002
134401001,395172009
