reactionsId,subsetId
140004,419076005
330007,419076005
490008,419076005
586008,419076005
596004,419076005
815008,419076005
832007,419076005
981008,74474003
1070000,419076005
1488000,16932000
1763009,419076005
1794009,419076005
1824008,419076005
2032001,419076005
2066005,74474003
2129002,419076005
2237002,419076005
2365002,419076005
2367005,74474003
2733002,419076005
2919008,16932000
2946003,62315008
3014005,419076005
3094009,16932000
3358001,126485001
3424008,419076005
3533007,126485001
3696007,419076005
3755001,126485001
4275001,419076005
4373005,419076005
4416007,65124004
4448006,419076005
4473006,419076005
4556007,419076005
4568003,419076005
4641009,419076005
4776004,126485001
4859009,126485001
4969004,419076005
5248000,419076005
5300004,419076005
5332004,419076005
5860009,419076005
5888003,419076005
5972002,419076005
6048002,126485001
6072007,74474003
6111009,126485001
6141006,419076005
6273006,419076005
6456007,419076005
6497000,419076005
6561007,419076005
6869001,419076005
6950007,419076005
7011001,419076005
7520000,419076005
7674000,419076005
8009008,419076005
8011004,419076005
8034008,419076005
8148005,419076005
8211008,419076005
8326008,419076005
8493009,419076005
8579004,16932000
8634009,419076005
8641003,419076005
8691004,419076005
8765009,74474003
8913004,419076005
8955008,419076005
9067002,419076005
9209005,419076005
9404003,65124004
9748009,419076005
9768003,419076005
9794007,419076005
9826008,419076005
9991008,419076005
10057001,126485001
10085004,419076005
10601006,419076005
10718002,419076005
10803007,419076005
11003002,62315008
11092001,419076005
11114002,419076005
11354005,419076005
11468004,419076005
11767005,16932000
11806006,419076005
11833005,419076005
12026006,419076005
12063002,74474003
12262002,419076005
12263007,419076005
12274003,74474003
12336008,419076005
12355008,74474003
12584003,419076005
12630008,419076005
12847006,74474003
13059002,419076005
13082000,419076005
13445001,419076005
13791008,419076005
14094001,16932000
14302001,419076005
14384003,62315008
14589007,419076005
14654002,39579001
14760008,419076005
14884007,419076005
14907004,126485001
15013002,419076005
15115006,74474003
15188001,419076005
15238002,74474003
15250008,419076005
15510009,419076005
15539009,419076005
15576007,126485001
15639000,419076005
15699003,62315008
15720001,74474003
15803009,419076005
15902003,74474003
15970005,74474003
16001004,419076005
16269008,419076005
16331000,419076005
16341002,126485001
16694003,74474003
16844001,419076005
16865007,419076005
16932000,16932000
16935003,419076005
17048005,419076005
17067009,74474003
17173007,419076005
17216000,267036007
17440005,419076005
17496003,419076005
17551007,62315008
17593008,74474003
17790008,419076005
17842005,419076005
17866004,419076005
17974002,419076005
17986004,419076005
18168004,62315008
18367003,74474003
18425006,62315008
18726006,419076005
18773000,16932000
18805001,62315008
18846006,16932000
18876004,419076005
18963009,419076005
19213003,62315008
19242006,419076005
19282004,419076005
19364004,126485001
19452008,419076005
19471005,419076005
19514005,126485001
19527009,419076005
19569008,16932000
19657006,419076005
19754005,419076005
20112008,267036007
20301004,419076005
20343006,126485001
20425006,419076005
20502007,419076005
21112004,419076005
21522001,419076005
21897009,419076005
22126005,419076005
22157005,74474003
22199006,419076005
22220005,419076005
22231002,419076005
22253000,419076005
22775002,419076005
22818000,126485001
22972008,126485001
23056005,419076005
23141003,267036007
23615008,419076005
23812009,74474003
23854007,126485001
23924001,419076005
23971007,16932000
24001002,74474003
24079001,419076005
24187003,419076005
24412005,62315008
24693007,419076005
24807004,74474003
24921003,267036007
24982008,419076005
25064002,419076005
25209001,267036007
25289003,419076005
25319005,62315008
25334004,419076005
25349007,74474003
25374005,419076005
25458004,419076005
25501002,419076005
25569003,419076005
25847004,126485001
25858008,126485001
25887009,419076005
25898005,62315008
26006005,419076005
26045000,419076005
26079004,419076005
26141007,419076005
26169004,419076005
26221006,74474003
26237000,419076005
26284000,419076005
26329005,419076005
26374003,65124004
26421009,74474003
26544005,419076005
26664005,419076005
27019000,419076005
27040004,419076005
27152008,16932000
27194006,419076005
27281001,74474003
27355003,419076005
27382006,419076005
27520001,126485001
27536004,419076005
