findingId,situationId
388008,65431000119100
2875008,698546002
3183007,11013011000119100
3249005,65441000119109
6025007,1156321000
6240004,427749007
8782006,428846008
8920006,65381000119107
9524002,142541000119102
11101003,428308007
11466000,161805006
12113005,69221000119104
12866006,473165003
12976005,161659007
13619001,428892006
13662000,60861000119100
13830001,429495009
16584000,427390007
18027006,161671001
19262003,139301000119100
19578002,161696003
20466006,69191000119105
21054003,87331000119102
21371007,161617006
22523008,161558008
23719005,2631000119108
23968004,427816007
24443003,369101000119101
24878005,428405009
25236004,36791000119109
25353009,428298000
25676003,1082721000000105
26212005,1231000119100
26294005,690511000119109
26390003,119771000119101
26452005,442210006
26786002,428888004
26977004,73941000119109
27315000,93471000119103
27865001,428529004
28233006,161808008
28913000,1362961000000101
29068008,10989151000119104
29827000,427851004
30783006,10982491000119105
30880003,69671000119101
30956003,428486007
31019002,161681002
31904001,691291000119106
32413006,161666008
32477003,784266000
33149006,111981000119100
33496007,65501000119108
34646007,427893003
36899001,59251000119102
36969009,428375006
37256008,65321000119108
37625005,70311000119101
38102005,428882003
38172006,76561000119107
38598009,473166002
39633000,428835005
40059006,429117009
40250003,61611000119105
40654000,16466241000119109
40705004,1331000119107
41453009,69831000119100
41976001,59261000119100
42010004,275574006
42101009,86011000119108
42253005,275573000
42284007,473170005
43075005,428305005
44345001,429363007
44441009,841000119107
44558001,428077006
44946007,429498006
45009000,427730008
45148003,328191000119106
45900003,11856761000119101
46589004,161650006
47092002,10997491000119107
47411002,1156320004
47432005,285701000119108
47458005,698453009
47534009,428848009
48007004,59381000119100
48114000,1362121000000107
48387007,161685006
49209004,107701000119101
49266009,427934005
49795001,161624007
50172003,59271000119106
50465008,59151000119109
51683002,427852006
52092002,16783651000119107
52637005,765291000000105
52734007,861000119106
52930005,698944006
53059001,1241000119109
53276009,161697007
53304009,369111000119103
53442002,427817003
54535009,108941000119102
54956002,161689000
55705006,59141000119107
56060000,428072000
56306000,429676005
58076004,65291000119100
58390007,152621000119105
58776007,108631000119101
60523002,11008601000119101
60656008,161670000
60890002,275572005
61557004,161679004
61586001,726624001
61661004,16475351000119103
62438007,698362007
62881002,11007271000119105
63016009,442503004
63513005,70661000119105
64063003,76651000119106
64915003,161625008
65551008,428642007
65575008,59301000119108
66951008,428534000
67308009,473168001
67598001,428227003
67864003,428449006
68442002,698547006
69031006,428540007
69769008,69911000119104
70536003,161665007
70852009,161680001
71192002,28281000087109
71309007,10997411000119103
71408000,70301000119104
71550003,10997371000119104
71651007,82981000119102
71815002,712781003
72310004,428075003
72791001,429277008
73632009,428307002
73761001,851000119109
75732000,608851004
76025005,704450003
76876009,391083006
76956004,428834009
77543007,267020005
78559005,428810004
78830001,427932009
79733001,608846005
80146002,428251008
80983001,161669001
81099000,1901000119101
81516001,428644008
83639008,69591000119104
83985009,74751000119106
84354004,59221000119105
84539006,698424008
84604002,698452004
85419002,428890003
85548006,725944002
85830006,59391000119102
86198006,473169009
86477000,429763009
86553008,161651005
87604009,329281000119107
88039007,161672008
88045004,94461000119106
88312006,429372004
88733004,1362211000000109
90199006,428079009
107938000,347861000119105
107963000,429281008
108022006,61531000119104
108290001,429479009
112788002,10998451000119101
112798008,440139006
112811009,429278003
112815000,161667004
112969004,429654001
113091000,144181000000102
116015001,428653001
116033007,69751000119101
116141005,473173007
116142003,429290001
116241004,112371000119108
116859006,161664006
118805000,836161000000109
119954001,428250009
120001005,161627000
120086003,182131000119106
122548005,118321000119105
127785005,425457005
128409001,11007311000119105
128531006,293711000119108
128538000,10989261000119108
150062003,429521007
170370000,426980004
170371001,426519003
170372008,429203008
172401007,65391000119105
172405003,16715451000119109
172485001,428536003
172532006,427813004
173171007,10997971000119103
173422009,438759003
174814003,36601000119109
174826008,285681000119105
174929002,125411000119107
175249005,60851000119102
176058000,429789009
176258007,690501000119106
176687003,10978131000119107
176914002,10878471000119108
176915001,10878431000119105
177141003,725949007
177184002,275568006
178157001,429517000
178728009,10998661000119102
180030006,429280009
180040009,427892008
180284004,275563002
180285003,161660002
182764009,161647008
182975000,473151000
225703004,65171000119107
230897007,428661006
231213009,76571000119101
231629008,65371000119109
231751005,65191000119108
232717009,399261000
232834008,119481000119105
233022006,698455002
233134001,698589003
233139006,698457005
233573008,67231000119106
234319005,161626009
234647001,428837002
234890003,681361000119107
235316007,59371000119103
235428000,428374005
235462000,473158006
236208006,87341000119106
239431009,429285004
239541009,11008281000119107
239542002,10997251000119103
240329007,275562007
243125009,134651000119108
250980009,76661000119108
254502002,428265005
257891001,428662004
258754001,428069007
264983002,427891001
265056007,473171009
265060005,117781000119107
265221001,10979621000119105
265291005,65451000119106
265480000,428583001
265711005,428582006
265764009,161693006
265859004,140641000119100
266717002,161652003
271298009,275560004
